Number,Company,Location,Capability,Lat,Lon,Elevation
0,Leaf Space,Italy,UHF,45.59,9.36,0
1,Leaf Space,Italy,UHF,45.69,9.03,0
2,Leaf Space,Spain,UHF,38.67,-4.16,0
3,Leaf Space,Azores,S & X,36.99,-25.13,0
4,Leaf Space,Azores,S & X,36.99,-25.13,0
5,Leaf Space,New Zealand,S & X,-46.53,168.38,0
6,Leaf Space,Bulgaria,S & X,42.48,23.44,0
7,Leaf Space,UK,S & X,60.75,-0.86,0
8,Leaf Space,Sri Lanka,S & X,7.27,80.72,0
9,Leaf Space,Australia,S & X,-32.96,138.85,0
10,Leaf Space,Australia,S & X,-29.01,115.34,0
11,Leaf Space,Iceland,S & X,63.96,-22.58,0
12,Leaf Space,Azerbaijan,S & X,40.46,49.48,0
13,KSAT,Inuvik,S & X (down),68.359,-133.72,67
14,KSAT,Fairbanks,S & X (down),64.84,-147.7,0
15,KSAT,Los Angeles,S & X (down),34.0,-118.2,0
16,KSAT,Hawaii,S & X (down),19.89,-155.7,0
17,KSAT,Panama,S & X (down),8.53,-80.78,0
18,KSAT,Cordoba,S & X (down),-31.4,-64.19,0
19,KSAT,Punta Arenas,S & X (down),-53.16,-70.9,0
20,KSAT,Tolhuin,S & X (down),-54.5,-67.1,0
21,KSAT,Nuuk,S & X (down),64.17,-51.73,92
22,KSAT,Jan Mayen,S & X (down),71.03,-8.29,0
23,KSAT,Svalbard,S & X (down),77.87,20.97,400
24,KSAT,Tromso,S & X (down),69.64,18.95,0
25,KSAT,Vardo,S & X (down),70.37,31.1,0
26,KSAT,Azores,S & X (down),37.74,-25.67,0
27,KSAT,Maspalomas,S & X (down),27.76,-15.58,0
28,KSAT,Puertollano,S & X (down),38.68,-4.1,0
29,KSAT,Nemea,S & X (down),37.82,22.66,0
30,KSAT,Dubai,S & X (down),25.2,55.27,0
31,KSAT,Bangalore,S & X (down),12.97,77.59,0
32,KSAT,Jeju,S & X (down),33.49,126.5,0
33,KSAT,Tokyo,S & X (down),35.67,139.65,0
34,KSAT,Singapore,S & X (down),1.3521,103.81,0
35,KSAT,Mauritius,S & X (down),-20.34,57.55,0
36,KSAT,Hartebeesthoek,S & X (down),-25.89,27.68,0
37,KSAT,Antartica Trollsat,S & X (down),-72.0,2.0,1275
38,KSAT,Mingenew,S & X (down),-29.19,115.4,0
39,KSAT,Awarua,S & X (down),-46.49,168.38,0
40,SSC,Clewiston,S(up) & X(down),26.0,-81.0,0
41,SSC,Kiruna,S & X(down),67.0,21.0,0
42,SSC,Inuvik,S & X,68.359,-133.72,67
43,SSC,Alaska,S & X(down),64.0,-147.0,0
44,SSC,Punta Arenas,S & X,-53.16,-70.9,0
45,SSC,Santiago,S,33.0,-70.0,0
46,SSC,Siracha,S & X(down),13.0,100.0,0
47,SSC,Hawaii,S & X,19.89,-155.7,0
48,SSC,Mingenew,S & X,-29.19,115.4,0
49,Estrack,Kourou,,5.0,-52.0,0
50,Estrack,Kiruna,,67.0,21.0,0
51,Estrack,Redu,,50.0,5.0,0
52,Estrack,Santa Maria,,36.0,-25.0,0
53,Estrack,Hawaii,,19.89,-155.7,0
54,Estrack,Santiago,,33.0,-70.0,0
55,Estrack,Antartica Trollsat,,-72.0,2.0,0
56,Estrack,Svalbard,,77.87,20.97,0
57,Estrack,Dongara,,-29.19,115.4,0
58,TU Delft,Delft,S & UHF,51.9989277188604,4.37345706564256,90
